date,gdp,cpi,unemp,ffr
1954-07-01,2880.482,26.86,5.8,1.13
1954-10-01,2936.852,26.72,5.7,0.5
1955-01-01,3020.746,26.77,4.9,1.44
1955-04-01,3069.91,26.79,4.7,1.44
1955-07-01,3111.379,26.76,4,1.69
1955-10-01,3130.068,26.82,4.3,2.19
1956-01-01,3117.922,26.83,4,2.5
1956-04-01,3143.694,26.93,4,2.5
1956-07-01,3140.874,27.29,4.4,2.75
1956-10-01,3192.57,27.51,3.9,3
1957-01-01,3213.011,27.67,4.2,3
1957-04-01,3205.97,27.93,3.9,3
1957-07-01,3237.386,28.19,4.2,3
1957-10-01,3203.894,28.32,4.5,3.5
1958-01-01,3120.724,28.64,5.8,3
1958-04-01,3141.224,28.94,7.4,0.25
1958-07-01,3213.884,28.89,7.5,0.25
1958-10-01,3289.032,28.91,6.7,1
1959-01-01,3352.129,29.01,6,2.38
1959-04-01,3427.667,28.98,5.2,2.25
1959-07-01,3430.057,29.15,5.1,2.75
1959-10-01,3439.832,29.35,5.7,4
1960-01-01,3517.181,29.37,5.2,4
1960-04-01,3498.246,29.54,5.2,4
1960-07-01,3515.385,29.55,5.5,3.25
1960-10-01,3470.278,29.75,6.1,3
1961-01-01,3493.703,29.84,6.6,3
1961-04-01,3553.021,29.81,7,2
1961-07-01,3621.252,29.92,7,0.5
1961-10-01,3692.289,29.98,6.5,1.5
1962-01-01,3758.147,30.04,5.8,2.5
1962-04-01,3792.149,30.21,5.6,2.75
1962-07-01,3838.776,30.22,5.4,2.75
1962-10-01,3851.421,30.38,5.4,3
1963-01-01,3893.482,30.44,5.7,3
1963-04-01,3937.183,30.48,5.7,3
1963-07-01,4023.755,30.69,5.6,3
1963-10-01,4050.147,30.75,5.5,3.5
1964-01-01,4135.553,30.94,5.6,3.25
1964-04-01,4180.592,30.95,5.3,3.5
1964-07-01,4245.918,31.02,4.9,3.5
1964-10-01,4259.046,31.12,5.1,3.5
1965-01-01,4362.111,31.28,4.9,4
1965-04-01,4417.225,31.38,4.8,4.13
1965-07-01,4515.427,31.58,4.4,4.13
1965-10-01,4619.458,31.65,4.2,4.13
1966-01-01,4731.888,31.88,4,4.63
1966-04-01,4748.046,32.28,3.8,4.75
1966-07-01,4788.254,32.45,3.8,5.5
1966-10-01,4827.537,32.85,3.7,5.75
1967-01-01,4870.299,32.9,3.9,5
1967-04-01,4873.287,33.1,3.8,4.5
1967-07-01,4919.392,33.4,3.8,3.5
1967-10-01,4956.477,33.7,4,3.75
1968-01-01,5057.553,34.1,3.7,4.5
1968-04-01,5142.033,34.4,3.5,5.5
1968-07-01,5181.859,34.9,3.7,6.13
1968-10-01,5202.212,35.3,3.4,6
1969-01-01,5283.597,35.7,3.4,4
1969-04-01,5299.625,36.3,3.4,6.63
1969-07-01,5334.6,36.8,3.5,8.75
1969-10-01,5308.556,37.3,3.7,8
1970-01-01,5300.652,37.9,3.9,5
1970-04-01,5308.164,38.5,4.6,8
1970-07-01,5357.077,38.9,5,7
1970-10-01,5299.672,39.4,5.5,6.5
1971-01-01,5443.619,39.9,5.9,3
1971-04-01,5473.059,40.1,5.9,4
1971-07-01,5518.072,40.6,6,5.25
1971-10-01,5531.032,40.9,5.8,5.38
1972-01-01,5632.649,41.2,5.8,3
