policy_id,start_date,year,exposure,age,vehicle_value,credit_score,gdp,cpi,unemp,ffr,lambda,claims
1,2020-07-01,2020,0.7509637924376875,45,139675.33429749194,724.8015900623508,20284.5,258.4575,8.875,0.445,0.6582626377013603,0
2,2019-03-01,2019,0.755461928085424,26,353680.8449200328,689.966328025653,20715.6715,255.18775,3.75,2.27,0.5126497204213535,0
3,2022-03-01,2022,0.5576113880379125,47,179247.49681065357,748.7874732505543,22075.93125,291.01075,3.7,1.2650000000000001,0.39071810489372116,0
4,2019-02-01,2019,0.6280669043771923,67,200592.666901453,676.3321220928832,20715.6715,255.18775,3.75,2.27,0.4500075869646677,2
5,2018-03-01,2018,0.5822530237492174,24,220074.95736068184,706.5877721910076,20193.89525,250.768,3.9,1.7725,0.43021579061462295,0
6,2021-06-01,2021,0.6396981587167829,68,113754.51267342873,700.7347902542452,21532.407,269.43925,5.6,0.085,0.48827669921820177,0
7,2022-02-01,2022,0.5762668524403125,67,222280.03074632367,717.6439290520333,22075.93125,291.01075,3.7,1.2650000000000001,0.4039821861830169,1
8,2022-06-01,2022,0.7144540066365153,70,222076.8422331692,713.1336040130883,22075.93125,291.01075,3.7,1.2650000000000001,0.4776341444441878,0
9,2021-07-01,2021,0.6060397104592994,46,170024.05659308308,732.4481723548103,21532.407,269.43925,5.6,0.085,0.4633091027293536,0
10,2021-01-01,2021,0.5389978145249188,60,266309.91786499106,732.4186209535899,21532.407,269.43925,5.6,0.085,0.43079945687148213,0
11,2022-04-01,2022,0.9361289195949212,63,130750.89986579304,688.3812498281545,22075.93125,291.01075,3.7,1.2650000000000001,0.6207979625394816,0
12,2019-02-01,2019,0.6070887494133785,47,128692.65809146521,566.7089599144931,20715.6715,255.18775,3.75,2.27,0.4340209353651437,2
13,2022-06-01,2022,0.6014187297550961,59,77134.73799004056,715.626802783377,22075.93125,291.01075,3.7,1.2650000000000001,0.4145335374708226,0
14,2020-01-01,2020,0.658276938018389,72,71115.95231835805,742.4303001810423,20284.5,258.4575,8.875,0.445,0.5977824652157206,0
15,2020-02-01,2020,0.665154013200663,21,166067.53070132827,750.7939124386544,20284.5,258.4575,8.875,0.445,0.5860673996720795,2
16,2020-03-01,2020,0.8846147634321824,77,90480.30475515689,718.7011368930848,20284.5,258.4575,8.875,0.445,0.7864913930601881,0
17,2018-05-01,2018,0.7865306560415775,22,202532.31653489952,697.1277968148281,20193.89525,250.768,3.9,1.7725,0.5491218092383372,1
18,2022-03-01,2022,0.5810590388718992,56,212059.35687754268,702.1798324826777,22075.93125,291.01075,3.7,1.2650000000000001,0.40386173128486785,0
19,2020-03-01,2020,0.9066844778135419,36,108355.89183504517,672.536977049249,20284.5,258.4575,8.875,0.445,0.7895946962712821,1
20,2022-09-01,2022,0.9609839586773887,79,297330.51911727485,614.687063473871,22075.93125,291.01075,3.7,1.2650000000000001,0.6452449693649912,2
21,2020-04-01,2020,0.626240145182237,38,85996.4688562566,633.7918529976034,20284.5,258.4575,8.875,0.445,0.5645824099838762,1
22,2022-09-01,2022,0.8757163805421442,77,96152.42546273924,721.6954743338833,22075.93125,291.01075,3.7,1.2650000000000001,0.5818479503156879,0
23,2018-09-01,2018,0.6021692766807973,37,202990.10679243447,704.0052936204788,20193.89525,250.768,3.9,1.7725,0.443782709902052,0
24,2020-05-01,2020,0.9146216622320935,26,173645.89755169765,742.5846833206884,20284.5,258.4575,8.875,0.445,0.7927797574270522,1
25,2020-11-01,2020,0.6510071855736896,73,35940.116941629356,682.8155179696753,20284.5,258.4575,8.875,0.445,0.5929162206940657,1
26,2018-08-01,2018,0.8833042995538563,76,158458.7756120517,705.9838698368975,20193.89525,250.768,3.9,1.7725,0.6353289871085571,0
27,2020-02-01,2020,0.5603275026660413,41,144685.01648586377,675.3273594882066,20284.5,258.4575,8.875,0.445,0.5225083017912621,0
28,2018-07-01,2018,0.9223256892291829,59,196068.16111217963,637.1090423687225,20193.89525,250.768,3.9,1.7725,0.6595913124199262,0
29,2021-06-01,2021,0.9106111665023491,52,245439.93635969737,796.5101845629401,21532.407,269.43925,5.6,0.085,0.6699342362506258,2
